dataset,raw_rmse,raw_snr,raw_bnsr,raw_srr,raw_ssim,raw_centroid_shift,raw_area_retention,raw_temp_smoothness,raw_composite,stat_k3_rmse,stat_k3_snr,stat_k3_bnsr,stat_k3_srr,stat_k3_ssim,stat_k3_centroid_shift,stat_k3_area_retention,stat_k3_temp_smoothness,stat_k3_composite,stat_k2_rmse,stat_k2_snr,stat_k2_bnsr,stat_k2_srr,stat_k2_ssim,stat_k2_centroid_shift,stat_k2_area_retention,stat_k2_temp_smoothness,stat_k2_composite,temporal_median3_rmse,temporal_median3_snr,temporal_median3_bnsr,temporal_median3_srr,temporal_median3_ssim,temporal_median3_centroid_shift,temporal_median3_area_retention,temporal_median3_temp_smoothness,temporal_median3_composite,gaussian_spatial_rmse,gaussian_spatial_snr,gaussian_spatial_bnsr,gaussian_spatial_srr,gaussian_spatial_ssim,gaussian_spatial_centroid_shift,gaussian_spatial_area_retention,gaussian_spatial_temp_smoothness,gaussian_spatial_composite,bilateral_spatial_rmse,bilateral_spatial_snr,bilateral_spatial_bnsr,bilateral_spatial_srr,bilateral_spatial_ssim,bilateral_spatial_centroid_shift,bilateral_spatial_area_retention,bilateral_spatial_temp_smoothness,bilateral_spatial_composite,stat_k3+temporal_rmse,stat_k3+temporal_snr,stat_k3+temporal_bnsr,stat_k3+temporal_srr,stat_k3+temporal_ssim,stat_k3+temporal_centroid_shift,stat_k3+temporal_area_retention,stat_k3+temporal_temp_smoothness,stat_k3+temporal_composite,stat_k3+spatial_rmse,stat_k3+spatial_snr,stat_k3+spatial_bnsr,stat_k3+spatial_srr,stat_k3+spatial_ssim,stat_k3+spatial_centroid_shift,stat_k3+spatial_area_retention,stat_k3+spatial_temp_smoothness,stat_k3+spatial_composite,nl_means_rmse,nl_means_snr,nl_means_bnsr,nl_means_srr,nl_means_ssim,nl_means_centroid_shift,nl_means_area_retention,nl_means_temp_smoothness,nl_means_composite
edge_contact,3.758250845857929,25.69073916707293,0.0,1.0211698774746867,0.9978812848553429,0.04805973833114779,1.0011437908496732,1.0,0.9275177079273977,77.3575339746683,-0.5795978900043509,3.704930503713154,0.006917480144528025,-6.754943660710384e-05,1.6934015857431615,0.2741830065359477,1.0,0.23824762067521552,77.3575339746683,-0.5795978900043509,3.704930503713154,0.006917480144528025,-6.754943660710384e-05,1.6934015857431615,0.2741830065359477,1.0,0.23824762067521552,2.5923095854600295,28.916717130103567,3.208865713322859,1.011298888190354,0.999070391925837,0.03234815917227077,1.0011982570806102,1.0,0.9441025272334422,5.671760567927143,22.116096666264546,14.092951824738263,1.021187922576061,0.9960172065024306,0.04688127443678094,1.0658496732026144,1.0,0.9090926373168221,5.671760567927143,22.116096666264546,14.092951824738263,1.021187922576061,0.9960172065024306,0.04688127443678094,1.0658496732026144,1.0,0.9090926373168221,77.36873914619453,-0.5808559424534853,9.842601798788394,0.0018116679119518024,-8.989913863945997e-06,3.0021220952894105,1.8870915032679736,1.0,0.22878537417016173,77.34006652714697,-0.5776363815959263,16.97730682257156,0.00692911147610426,-6.763121119455219e-05,1.6884993412023628,2.9716775599128544,1.0,0.2382909750785317,5.671760567927143,22.116096666264546,14.092951824738263,1.021187922576061,0.9960172065024306,0.04688127443678094,1.0658496732026144,1.0,0.9090926373168221
five_patches_palm,9.33174552674793,20.867691910893132,0.0,1.0078669563660372,0.995878930684766,0.04580406015886694,0.9907630522088355,1.0,0.9028158633839025,133.84477816097365,-2.2650789889913,0.0,0.0037430908777070573,-2.4105704738705883e-05,5.458102061297934,0.036423956696350616,1.0,0.20549723989135818,133.84477816097365,-2.2650789889913,0.0,0.0037430908777070573,-2.4105704738705883e-05,5.458102061297934,0.036423956696350616,1.0,0.20549723989135818,6.754982993435032,23.67446445624612,0.0,1.0033710188000806,0.9978452169847871,0.03353333568465221,0.9892439322507421,1.0,0.9175163040286377,6.628073193333375,23.839203742428992,0.0,1.0078669563660372,0.9978184145545757,0.04588589315734861,1.0350270647808624,1.0,0.9182547562462842,6.628073193333375,23.839203742428992,0.0,1.0078669563660372,0.9978184145545757,0.04588589315734861,1.0350270647808624,1.0,0.9182547562462842,133.91163685357182,-2.269416716901879,0.0,0.0010377951121892427,-4.041492443927862e-06,5.092197231078741,0.5849659507595599,1.0,0.20708613249929578,133.82037475065027,-2.2634951793160933,0.0,0.0037430908777070573,-2.3966036546235744e-05,5.42596870940736,0.4630172865374541,1.0,0.2057059923890503,6.628073193333375,23.839203742428992,0.0,1.0078669563660372,0.9978184145545757,0.04588589315734861,1.0350270647808624,1.0,0.9182547562462842
large_area_press,14.988036756059262,25.955041148824314,0.0,0.9986893999960402,0.9987329101936293,0.013699455741974504,0.9874138447707523,1.0,0.9289818072028331,479.85127095835253,-4.152196850500484,0.0,0.000619488225495279,-2.4031462608991817e-07,4.71868088951244,0.33507142143642,1.0,0.19990213224441863,479.85127095835253,-4.152196850500484,0.0,0.000619488225495279,-2.4031462608991817e-07,4.71868088951244,0.33507142143642,1.0,0.19990213224441863,10.461243494022758,29.07826992274121,0.0,0.9986309195989622,0.9993826662184424,0.009652778468448774,0.9911697133153531,1.0,0.9448035495135516,5.285363399347682,35.00843907958879,0.0,0.9986893999960402,0.9998408140897711,0.01383512625304493,1.011667166117271,1.0,0.9745803200848038,5.285363399347682,35.00843907958879,0.0,0.9986893999960402,0.9998408140897711,0.01383512625304493,1.011667166117271,1.0,0.9745803200848038,479.9923931764297,-4.154750958145993,0.0,8.792582789369969e-05,-3.302266137205612e-09,9.33707441688816,0.4104185396064329,1.0,0.17089151156069246,479.8421154494569,-4.152031123110933,0.0,0.000619488225495279,-2.3799851935040693e-07,4.7075213474585045,0.4693537109179902,1.0,0.19997270801920353,5.285363399347682,35.00843907958879,0.0,0.9986893999960402,0.9998408140897711,0.01383512625304493,1.011667166117271,1.0,0.9745803200848038
low_snr_small_patches,14.931222580783144,2.635020265104006,0.0,1.7209812430553137,0.6270981316331941,0.6843928122551957,2.4182361733931237,1.0,0.6970270857388833,22.26048876044717,-0.8337662565235846,4.088506454765804,0.13621383142127733,-0.012103218698034511,2.1893937481744623,0.40612855007473836,1.0,0.266200915646611,22.26048876044717,-0.8337662565235846,4.088506454765804,0.13621383142127733,-0.012103218698034511,2.1893937481744623,0.40612855007473836,1.0,0.266200915646611,10.697315642453582,5.531431444729122,3.1220024481981046,1.5057486773973223,0.7643762505274047,0.5947948496740706,1.8888639760837072,1.0,0.7532525645714041,8.625830532257574,7.400909226330601,13.622188957244576,1.7200088510979392,0.7501568323884058,0.6837751934809713,1.6834828101644244,1.0,0.7577780008889186,8.625830532257574,7.400909226330601,13.622188957244576,1.7200088510979392,0.7501568323884058,0.6837751934809713,1.6834828101644244,1.0,0.7577780008889186,21.50374504318409,-0.5333543882693007,10.36295097437661,0.04072820453742517,-0.0018251409713098698,2.708264617475236,2.611136023916293,1.0,0.24058862533378955,21.233800147905242,-0.42362685288204466,16.941315225519254,0.1359914093790978,-0.013234508796153472,2.182871099191625,4.377204783258595,1.0,0.26823677371041654,8.625830532257574,7.400909226330601,13.622188957244576,1.7200088510979392,0.7501568323884058,0.6837751934809713,1.6834828101644244,1.0,0.7577780008889186
single_center_patch,4.250499663127584,27.371245849519337,0.0,1.012280225610525,0.999023574285149,0.03675216354763304,0.9872811718470882,1.0,0.9363336005109687,110.75386059142116,-0.9471318993017132,0.0,0.005071648054076064,-2.1414373882511755e-05,3.262649066923231,0.127438370846731,1.0,0.22614069584874028,110.75386059142116,-0.9471318993017132,0.0,0.005071648054076064,-2.1414373882511755e-05,3.262649066923231,0.127438370846731,1.0,0.22614069584874028,3.034821242327643,30.297383266177587,0.0,1.005552405702321,0.999518451401837,0.024256866084314894,0.9885673454805287,1.0,0.9511908463384121,3.0789162663419076,30.17208801002196,0.0,1.012280225610525,0.9994503561621528,0.03669878517587737,1.0233654876741691,1.0,0.9504661794914065,3.0789162663419076,30.17208801002196,0.0,1.012280225610525,0.9994503561621528,0.03669878517587737,1.0233654876741691,1.0,0.9504661794914065,110.7713992535377,-0.9485072628513913,0.0,0.0014382174162993304,-2.7267997154276502e-06,3.5125793837979318,1.2177920685959267,1.0,0.22366339689108083,110.7432944984335,-0.9463032122007097,0.0,0.005071648054076064,-2.1323171867218186e-05,3.2481297509720446,1.4694176491604145,1.0,0.2262355850089402,3.0789162663419076,30.17208801002196,0.0,1.012280225610525,0.9994503561621528,0.03669878517587737,1.0233654876741691,1.0,0.9504661794914065
two_patches,6.765090700002881,23.932195024279928,0.0,1.0184610471245703,0.9978122703734414,0.05571814055159518,1.0046863988724453,1.0,0.9186564178549845,119.81627131885692,-1.0326485084854362,3.4872699150783966,0.006255783109321232,-4.2994373157415946e-05,4.260046541546281,0.12082452431289639,1.0,0.2197754123502389,119.81627131885692,-1.0326485084854362,3.4872699150783966,0.006255783109321232,-4.2994373157415946e-05,4.260046541546281,0.12082452431289639,1.0,0.2197754123502389,4.789255055967894,26.932308168188733,3.1171473519319153,1.009822519404844,0.9989320644535822,0.03285563390362981,1.005250176180409,1.0,0.9341358124651206,5.6592265954934975,25.48252582722677,12.921609907536808,1.018457448909257,0.9983671462943556,0.055663006164614164,1.059971811134602,1.0,0.9265748792359116,5.6592265954934975,25.48252582722677,12.921609907536808,1.018457448909257,0.9983671462943556,0.055663006164614164,1.059971811134602,1.0,0.9265748792359116,119.8430080819636,-1.0345865312915457,9.461953157827821,0.0016792999371157136,-5.938638412468303e-06,5.011588975963442,1.1986257928118396,1.0,0.2139244612280497,119.7931285496555,-1.0309706482684498,15.621265707390691,0.0062643768178636886,-4.271049784414415e-05,4.256825202829051,1.3721282593375614,1.0,0.2198060834454421,5.6592265954934975,25.48252582722677,12.921609907536808,1.018457448909257,0.9983671462943556,0.055663006164614164,1.059971811134602,1.0,0.9265748792359116
