##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时32分07秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时32分08秒.971,7,13,29,19,31,36,39,5,6,5,5,6,5,6,6,6,5,5,6,6,5,5,4,5,5,11,16,13,16,18,22,4,4,9,13,13,14,15,14,5,5,9,9,9,12,11,11,5,6,12,15,12,16,17,18,4,5,9,13,14,16,15,13,5,5,13,19,16,41,30,25,5,6,11,19,17,28,34,24,6,5,12,23,20,37,51,32,5,5,13,24,21,32,41,28,5,1371.0,4.0,51.0,14.28,96.0,0.7267548878505087,4.325674533843994,6.788110733032227
14时32分09秒.069,5,15,29,18,31,36,39,5,5,5,5,5,5,7,5,5,5,6,6,5,5,6,5,6,5,10,16,13,18,18,22,5,6,10,12,13,14,15,14,5,5,9,9,10,10,11,11,6,5,10,14,12,16,17,18,5,5,10,13,12,16,15,13,6,6,13,19,16,41,29,22,5,5,13,19,17,32,33,24,5,5,14,23,20,39,50,32,6,5,13,24,20,32,41,28,6,1375.0,5.0,50.0,14.32,96.0,0.722309976726986,4.325674533843994,6.788110733032227
14时32分09秒.169,6,14,29,18,30,36,39,5,5,6,6,6,4,7,6,6,5,6,5,6,5,6,5,5,6,11,16,13,17,18,22,5,6,11,12,12,14,15,16,6,5,9,9,8,10,10,11,5,5,10,14,12,16,17,18,5,5,9,13,12,18,15,13,5,5,11,19,16,41,29,22,5,5,13,19,16,28,32,24,6,5,13,23,19,37,50,32,6,4,13,24,20,32,40,28,4,1361.0,4.0,50.0,14.18,96.0,0.7181064116374519,4.325674533843994,6.788110733032227
14时32分09秒.271,5,14,29,18,30,36,39,5,5,5,6,6,7,6,6,5,6,8,5,6,6,5,5,6,5,10,15,13,17,18,22,5,5,9,12,11,14,15,14,6,5,8,9,9,10,10,11,6,5,11,14,12,16,17,20,8,6,9,13,12,17,15,13,6,6,13,21,18,41,29,22,6,5,12,19,16,29,33,24,6,6,13,24,19,37,50,32,5,5,13,24,18,33,40,28,5,1374.0,5.0,50.0,14.31,96.0,0.7103332975382248,4.341339111328125,6.776564598083496
14时32分09秒.370,5,16,29,20,30,36,38,5,5,6,7,5,5,7,7,5,5,5,5,5,5,6,5,5,5,11,15,13,17,20,22,7,5,11,12,11,16,15,14,6,5,8,10,8,10,11,10,5,6,10,14,12,16,17,20,5,4,10,13,12,17,15,16,5,4,12,20,18,41,30,25,4,5,11,19,16,29,33,24,5,4,12,24,19,38,50,31,6,5,13,24,18,33,40,28,5,1372.0,4.0,50.0,14.29,96.0,0.7232847766790583,4.341339111328125,6.776564598083496
14时32分09秒.468,6,16,29,19,30,36,38,5,5,5,4,4,5,5,5,5,6,6,6,5,4,5,5,5,5,10,15,13,17,18,21,6,5,10,12,11,16,15,14,4,6,8,10,10,11,11,11,5,5,9,14,12,16,17,20,6,5,10,13,12,17,17,14,5,5,12,20,17,41,29,24,6,5,11,19,16,29,33,24,5,5,12,23,19,38,50,31,6,6,13,24,18,33,41,28,5,1363.0,4.0,50.0,14.2,96.0,0.7269741621718755,4.341339111328125,6.776564598083496
14时32分09秒.569,5,15,29,19,30,36,38,5,5,6,4,6,5,5,4,5,5,6,6,5,5,5,5,6,5,11,14,13,17,18,21,4,6,10,12,11,14,15,14,5,6,9,9,9,10,10,11,5,5,11,14,12,16,17,20,5,4,10,13,12,17,16,13,5,5,11,20,17,41,30,23,5,4,11,19,16,29,33,23,6,5,12,23,19,38,50,31,5,5,12,24,18,33,41,28,5,1351.0,4.0,50.0,14.07,96.0,0.7349805404281287,4.335677146911621,6.790895462036133
14时32分09秒.671,5,13,29,18,30,36,38,4,5,5,5,5,5,5,4,6,6,6,6,5,6,5,5,5,5,11,13,13,17,18,20,5,5,9,14,11,16,15,14,5,6,8,10,9,10,9,9,5,5,10,14,12,16,17,20,5,6,9,13,12,17,16,13,5,6,11,20,16,41,31,23,6,5,11,19,16,29,33,23,5,5,12,23,18,38,50,32,6,6,12,24,18,33,41,28,5,1350.0,4.0,50.0,14.06,96.0,0.7347057864156187,4.335677146911621,6.790895462036133
14时32分09秒.768,5,13,29,18,30,37,42,5,6,8,5,5,6,5,5,5,6,7,6,4,5,6,4,5,4,10,16,13,17,18,22,5,5,10,14,11,14,15,14,5,6,9,11,10,11,11,11,5,5,10,13,12,16,17,19,4,5,10,13,11,17,15,13,5,5,11,20,16,41,29,23,5,5,11,19,16,29,33,23,5,5,12,23,20,38,50,32,5,5,12,24,18,33,41,28,5,1361.0,4.0,50.0,14.18,96.0,0.7356464086527754,4.335677146911621,6.790895462036133
14时32分09秒.869,5,13,29,18,29,37,40,5,5,7,5,5,6,5,5,5,5,6,5,6,6,6,5,6,5,10,14,13,17,18,21,5,5,10,12,11,16,15,16,6,5,9,10,9,10,11,11,6,5,11,13,12,15,17,19,5,5,10,13,13,17,15,13,4,6,11,20,18,41,29,23,4,5,11,19,16,29,32,23,5,5,12,23,19,37,50,32,6,5,12,24,20,33,42,28,4,1360.0,4.0,50.0,14.17,96.0,0.7294354834853279,4.344117641448975,6.777205944061279
14时32分09秒.969,5,15,29,18,29,37,39,5,5,5,5,6,5,5,6,6,6,6,5,5,6,5,5,5,5,11,14,13,16,17,21,4,5,11,12,11,15,15,15,5,6,8,10,9,10,10,11,5,5,10,16,12,15,17,19,5,5,11,13,12,17,17,13,4,5,11,19,18,41,32,23,4,5,11,19,16,29,32,23,5,6,12,23,19,37,50,32,6,5,14,24,20,33,41,27,5,1360.0,4.0,50.0,14.17,96.0,0.7294354834853279,4.344117641448975,6.777205944061279
14时32分10秒.069,5,15,27,18,32,36,39,5,4,7,6,5,5,6,5,5,5,5,5,5,6,4,5,5,5,10,16,12,18,17,21,5,8,10,12,13,15,14,15,5,6,9,10,8,10,11,10,6,5,10,14,12,17,17,19,6,5,10,13,12,17,17,13,6,5,13,19,17,41,29,23,5,5,13,19,14,28,32,23,5,5,12,23,19,38,51,33,6,4,13,24,18,33,41,28,5,1363.0,4.0,51.0,14.2,96.0,0.7271873773501135,4.336390495300293,6.785399913787842
14时32分10秒.168,5,13,27,18,32,36,39,6,5,6,5,5,5,6,5,5,6,6,5,5,5,5,5,5,5,11,14,12,16,20,21,5,5,9,15,11,15,17,15,6,5,9,10,9,11,11,12,6,4,10,14,12,16,17,18,5,5,11,15,11,17,17,16,5,5,13,21,17,41,32,23,6,5,13,19,16,28,32,23,6,5,14,23,18,40,50,32,3,5,13,25,20,33,41,28,5,1378.0,3.0,50.0,14.35,96.0,0.7256647310754575,4.336390495300293,6.785399913787842
14时32分10秒.269,6,13,28,18,32,37,38,5,4,5,5,6,5,5,6,6,5,5,6,6,5,5,6,5,5,10,16,12,18,18,21,6,5,9,15,11,15,16,14,5,5,10,10,9,10,11,11,6,5,11,14,12,16,17,18,5,5,10,13,11,17,16,14,5,5,13,20,17,41,29,23,5,5,12,19,16,29,32,23,5,5,14,23,20,40,50,32,6,6,13,25,19,33,41,28,8,1376.0,4.0,50.0,14.33,96.0,0.7206019507634043,4.341569900512695,6.813226699829102
14时32分10秒.368,5,13,29,18,32,37,40,5,5,5,5,5,6,5,5,6,7,6,5,7,6,5,5,6,4,11,15,12,17,18,22,6,5,10,12,13,14,16,14,6,5,8,10,9,11,9,11,5,5,11,14,12,16,16,20,5,5,10,13,11,17,16,13,5,6,12,20,17,42,29,23,6,5,12,19,16,29,32,23,6,5,13,23,19,40,50,32,5,5,13,25,18,33,41,28,5,1372.0,4.0,50.0,14.29,96.0,0.7296031227374061,4.341569900512695,6.813226699829102
14时32分10秒.471,4,13,29,18,32,37,39,5,5,6,5,5,5,5,6,5,5,6,6,5,6,5,5,5,4,10,15,12,17,18,22,5,5,9,14,12,14,16,14,6,5,9,9,10,11,10,11,5,5,10,14,12,16,18,19,5,5,11,13,14,17,16,13,6,6,11,19,17,42,29,24,6,5,12,19,16,29,32,23,6,5,13,23,19,40,51,32,5,5,13,24,18,33,41,27,5,1369.0,4.0,51.0,14.26,96.0,0.7332536068618399,4.3517165184021,6.798027992248535
14时32分10秒.569,5,13,29,18,32,37,39,5,5,8,5,5,5,5,6,5,5,6,5,5,6,5,5,6,5,12,14,14,16,20,21,5,5,11,13,12,14,16,14,6,5,9,9,10,11,11,10,6,5,11,14,12,16,18,19,5,5,11,13,13,17,16,13,5,4,13,21,17,42,29,24,4,5,12,18,15,32,32,24,4,5,13,23,19,40,50,32,4,5,13,24,18,33,40,28,5,1375.0,4.0,50.0,14.32,96.0,0.7315304459750324,4.3517165184021,6.798027992248535
14时32分10秒.654,5,13,29,18,32,36,39,5,5,5,5,5,5,6,5,5,6,5,6,5,5,5,5,6,5,10,16,13,16,18,21,5,5,10,13,12,16,16,14,5,5,9,9,9,9,11,11,5,5,10,13,12,16,18,19,5,5,10,13,13,17,16,13,4,6,13,21,17,42,29,24,5,5,12,20,15,29,32,24,5,6,13,23,19,40,50,32,5,5,13,25,18,35,40,28,6,1370.0,4.0,50.0,14.27,96.0,0.7339204626963978,4.3517165184021,6.798027992248535
14时32分10秒.768,5,13,28,18,32,36,39,6,5,5,5,4,4,5,6,5,5,6,5,5,6,5,5,6,5,10,16,12,16,18,21,5,5,9,13,12,16,16,14,5,5,8,8,9,10,11,10,5,5,10,13,12,16,17,19,5,5,9,13,13,16,16,13,6,6,10,20,17,42,29,24,6,6,12,19,17,29,32,23,5,5,11,23,19,40,50,33,5,6,13,24,18,35,40,28,6,1359.0,4.0,50.0,14.16,96.0,0.7384438673456509,4.360191345214844,6.822295665740967
14时32分10秒.869,5,13,27,20,32,36,39,5,6,5,6,5,6,5,8,5,5,6,5,6,5,6,4,5,5,10,16,12,16,18,21,6,6,10,13,12,16,15,14,5,5,8,9,9,9,11,10,6,5,10,13,12,16,17,18,5,5,10,13,13,18,16,13,6,5,11,20,17,42,29,24,6,6,12,19,16,29,32,23,6,5,13,24,19,40,50,33,5,5,13,25,20,35,41,28,6,1376.0,4.0,50.0,14.33,96.0,0.7273253490230698,4.360191345214844,6.822295665740967
