##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260713_151358_single_device_77d029
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,12
cols,8
data_points,96
data_stage,processed_display
has_raw_adc,false
display_mode,adc
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95
627389.094265,0.248000,12,0,8,9,6,6,0,5,5,5,10,20,17,13,8,11,6,0,6,8,5,0,0,0,0,5,7,9,8,7,6,5,0,5,7,11,9,9,8,9,6,0,5,0,0,0,0,0,0,5,10,21,16,14,9,12,7,0,8,11,11,10,8,11,7,0,9,15,13,12,9,12,6,0,9,15,16,13,9,12,6,0,10,16,16,13,9,10,6,0,10,19,16,15,8,12,6
627389.111383,0.266000,13,0,7,9,7,8,5,6,0,0,11,20,15,13,9,13,6,0,7,8,0,0,0,0,0,5,5,9,7,8,5,5,5,0,7,11,10,10,8,9,6,0,5,0,0,0,0,0,0,5,10,21,16,13,9,14,6,0,9,11,10,9,7,11,6,0,9,15,13,12,8,12,7,0,9,17,13,13,9,14,6,0,11,16,14,13,9,13,5,0,11,21,16,15,10,12,6
627389.127959,0.282000,14,0,8,9,8,6,6,6,0,5,10,20,17,13,8,12,7,0,6,8,5,5,0,0,0,0,7,8,8,7,6,7,0,5,9,11,10,9,8,9,5,0,5,5,0,5,0,0,0,5,11,21,16,15,8,12,6,5,10,11,10,9,8,11,6,5,8,15,13,12,9,12,6,0,9,17,16,13,9,11,6,0,10,16,13,13,8,11,7,0,11,20,16,14,9,12,6
627389.160421,0.315000,15,0,7,9,7,8,6,6,0,0,11,20,17,15,8,12,5,0,5,7,5,0,0,0,0,5,7,9,8,8,6,6,0,0,9,13,9,9,8,9,5,0,5,5,0,0,0,0,0,5,10,21,18,15,8,12,6,5,9,11,11,11,7,11,5,0,9,15,13,12,8,12,6,0,10,15,13,13,8,11,6,0,9,16,13,13,9,11,6,5,10,20,16,14,9,12,5
627389.160708,0.315000,16,0,8,8,7,6,0,8,0,5,10,20,15,13,8,10,5,0,5,6,5,0,0,0,0,0,5,8,7,8,5,6,0,0,7,11,10,9,8,9,5,0,5,0,0,0,0,0,0,5,10,21,17,14,8,11,5,0,9,11,10,9,7,11,5,0,8,15,13,12,8,12,6,0,8,15,13,13,8,11,5,0,9,16,13,13,9,11,5,0,11,20,16,14,8,12,6
627389.193818,0.348000,17,0,8,9,7,6,0,8,0,0,10,20,15,13,9,12,5,5,8,6,0,0,0,0,0,0,5,9,7,6,5,5,0,0,7,11,10,9,8,9,6,0,5,0,0,0,0,0,0,5,11,21,16,14,9,11,6,0,8,11,9,9,7,11,6,5,8,15,13,12,8,12,6,0,10,15,15,13,9,13,6,0,10,16,13,13,9,11,5,0,11,19,15,16,9,12,6
627389.211001,0.365000,18,5,7,8,8,7,5,6,0,0,10,20,15,13,8,11,6,0,6,7,5,0,0,0,0,5,6,8,6,7,6,7,0,5,8,11,10,9,8,9,5,0,5,0,0,0,0,0,0,0,11,21,16,13,9,11,6,0,9,11,9,11,8,13,5,0,9,15,12,12,8,14,5,0,9,15,14,13,8,12,5,0,9,16,13,13,8,11,5,0,11,19,15,14,9,12,5
627389.227793,0.382000,19,0,8,9,6,6,0,5,0,5,9,20,15,13,8,11,5,0,5,7,5,0,0,0,0,5,5,9,8,6,5,6,0,0,8,11,10,9,8,9,5,0,5,0,0,0,0,0,0,0,10,21,16,13,8,13,7,0,8,13,9,9,8,11,6,0,10,15,12,12,8,12,0,0,9,15,14,13,8,12,6,0,9,16,13,13,9,11,6,0,10,19,15,16,9,12,5
627389.260864,0.415000,20,5,7,9,7,6,5,6,0,0,10,20,15,13,7,11,6,0,6,6,5,5,0,0,0,0,6,7,8,7,5,6,0,0,9,11,9,9,8,9,5,0,5,5,0,0,0,0,0,5,10,21,16,16,8,12,6,0,8,12,9,9,7,11,5,0,9,13,12,12,8,12,6,0,9,15,13,13,8,11,5,5,8,16,13,13,8,13,6,0,11,19,15,16,9,12,5
627389.277210,0.431000,21,0,8,9,7,7,5,7,0,5,10,20,15,13,9,11,5,0,5,8,5,0,5,0,0,0,7,8,8,8,5,8,0,5,9,11,10,9,8,9,6,0,5,5,0,0,0,0,0,6,10,21,16,16,8,14,6,0,8,14,10,11,8,11,5,5,9,15,12,12,7,12,7,0,10,15,13,15,9,13,6,0,9,18,13,13,9,13,6,0,11,19,15,16,9,12,5
