device,recording,sample_rate_hz,channels,frames,method,mean_total_adc,std_total_adc,peak_to_peak_adc,first_difference_std,roughness_retention
fabric,织物垫（500 g）,10.00000000014552,96,353,raw,23027.231629392973,476.9963645679945,1894.0,33.11041585960213,1.0
fabric,织物垫（500 g）,10.00000000014552,96,353,ema_0.35s,23009.81604050692,486.3731605732295,1836.037830268564,10.867088175720419,0.3282075411495905
fabric,织物垫（500 g）,10.00000000014552,96,353,ema_0.8s,22984.15088835361,501.3380310848612,1790.2117387579601,7.2553263023850105,0.2191251941126237
fabric,织物垫（500 g）,10.00000000014552,96,353,median3_ema,22996.670166141506,493.2668314184701,1811.2598385712809,8.022456753385642,0.24229404992686324
fabric,织物垫（500 g）,10.00000000014552,96,353,iir1_0.5hz,23009.03777735614,486.93646691602584,1840.748461943862,10.395075394338592,0.3139518222427879
fabric,织物垫（500 g）,10.00000000014552,96,353,iir2_0.5hz,23001.35572005505,491.52818733358373,1825.4537857515534,8.947919730221958,0.2702448609574631
fabric,织物垫（500 g）,10.00000000014552,96,353,kalman_fast,22978.092673254887,504.1236649868836,1778.5256560608395,6.856979454869788,0.2070943320055354
fabric,织物垫（500 g）,10.00000000014552,96,353,kalman_stable,22907.27094501924,531.5388337859914,1727.9278960629417,4.85299278677276,0.14656997385206133
fabric,织物垫（500 g）,10.00000000014552,96,353,cell_median3_ema,22993.94037110049,493.30881207317043,1811.2899027372514,8.011419532731402,0.24196070404860423
glove,手套（单手指 1 kg）,19.999999998835847,96,617,raw,460.4189944134078,12.590286689122998,110.0,14.088524377311337,1.0
glove,手套（单手指 1 kg）,19.999999998835847,96,617,ema_0.35s,460.1273313695608,8.353884056069502,36.39956981456834,1.3367088020044915,0.09487926245541904
glove,手套（单手指 1 kg）,19.999999998835847,96,617,ema_0.8s,459.70956775769986,7.8312554328305835,31.204522255870472,0.6043471243736437,0.042896410453525276
glove,手套（单手指 1 kg）,19.999999998835847,96,617,median3_ema,460.19594503452373,7.825025952583906,33.323151353303615,0.6055272885529247,0.042980178217108915
glove,手套（单手指 1 kg）,19.999999998835847,96,617,iir1_0.5hz,460.13776903798396,8.383776526287008,35.80530963379488,0.9610440650958112,0.06821467169716587
glove,手套（单手指 1 kg）,19.999999998835847,96,617,iir2_0.5hz,459.9872997306649,8.200285141644637,34.05568665162792,0.3990202541969398,0.028322359638993582
glove,手套（单手指 1 kg）,19.999999998835847,96,617,kalman_fast,460.0235155233551,8.181970142791881,34.632083466141125,1.0372510996698632,0.07362382829391909
glove,手套（单手指 1 kg）,19.999999998835847,96,617,kalman_stable,459.4165125390272,7.6178728860276275,29.479804087798016,0.43719738442246003,0.031032162965664332
glove,手套（单手指 1 kg）,19.999999998835847,96,617,cell_median3_ema,453.9567991683142,8.369953557714972,34.847162533229834,0.6632625237606039,0.04707821103172065
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,raw,114340.95544852498,651.589393198533,2484.0,59.90674699085951,1.0
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,ema_0.35s,114360.17192725127,639.8772414387754,2051.796787450294,4.6504154337072094,0.07762757397621278
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,ema_0.8s,114373.43922012234,617.4943137359221,1858.2308728252683,3.020371023308435,0.050417877368124815
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,median3_ema,114366.78167522786,632.2501034117039,1975.7952477378421,3.5834130665791464,0.059816518949458206
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,iir1_0.5hz,114359.291287318,640.9949178630503,2066.248490161961,4.700702398618742,0.07846699469987861
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,iir2_0.5hz,114369.0529822688,643.6181577926949,2045.325123876857,3.550958261429027,0.05927476352489691
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,kalman_fast,114350.27673509023,646.0083112671716,2161.990453814462,8.331853584123593,0.13908038747947465
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,kalman_stable,114361.40202083794,638.6509498075006,2036.0666413299332,4.4041814128360235,0.07351728534864374
membrane,64×64 膜片（1 kg）,58.823529412368934,4096,1897,cell_median3_ema,114366.64815979837,632.634977911661,1978.1544877009292,3.570706061923556,0.059604405868814235
