case,load_type,pipeline,method,steady_bias,steady_rmse,steady_std,steady_peak_to_peak,error95,mean_settling_s,max_settling_s,final_drift
force_local,local,sum_then_filter,raw,1.0029754498896284,1.4053068968541647,0.984341262603869,10.447010369274892,2.8121642568738543,41.25,50.0,0.2293279247806348
force_local,local,sum_then_filter,ema_0.35s,1.0008368006016435,1.060975246657524,0.3521280627576569,1.8597596987739706,1.5470417196245847,34.586363636363636,45.0,0.2287757111211146
force_local,local,sum_then_filter,ema_0.8s,0.9998856019362002,1.0534648706153578,0.33168813162565064,1.4454320688074418,1.4814911365089332,19.21818181818182,40.0,0.22785172663464404
force_local,local,sum_then_filter,median3_ema,0.9251860568933893,0.9860081787527246,0.34094411374494676,1.7657561693736703,1.441840466124215,21.436363636363637,40.0,0.24396246742835026
force_local,local,sum_then_filter,iir1_0.5hz,1.0008810558859191,1.0618398504121052,0.354599746040362,1.8811526693588654,1.5505819179952391,34.586363636363636,45.0,0.22937677118239752
force_local,local,sum_then_filter,iir2_0.5hz,1.0002212152195653,1.057878927603128,0.34447836810377536,1.490296276095954,1.5282180806609935,21.58181818181818,40.0,0.2220873339283529
force_local,local,sum_then_filter,kalman_fast,1.0015715876150955,1.0741537992310597,0.38815040806972856,2.4101666886210573,1.6300538796909319,36.00909090909091,45.0,0.2333122452783365
force_local,local,sum_then_filter,kalman_stable,1.0006675122186268,1.0592114274115305,0.34726557265204966,1.7712795177068017,1.5346106016071068,22.263636363636362,40.0,0.22789142462118095
force_local,local,per_cell_then_sum,cell_ema_0.35s,1.0008368006016433,1.060975246657524,0.35212806275765696,1.8597596987739742,1.5470417196245867,34.586363636363636,45.0,0.2287757111211164
force_local,local,per_cell_then_sum,cell_median3_ema,0.6729599203954645,0.7497653723639577,0.3305647578575102,1.6590294906074945,1.187605159719053,18.277272727272727,40.0,0.21330324996557293
force_local,local,per_cell_then_sum,cell_kalman,1.0015715876150955,1.0741537992310595,0.38815040806972845,2.4101666886210573,1.6300538796909334,36.00909090909091,45.0,0.23331224527833672
force_global,global,sum_then_filter,raw,0.24048868804130255,1.9146506725993202,1.899487401645297,17.027677504091287,3.8350570519461913,41.25,50.0,0.5968747886869338
force_global,global,sum_then_filter,ema_0.35s,0.2434062298378775,0.8017487233425552,0.7639073390520131,3.692188985785811,1.4801343945175887,9.527272727272727,30.0,0.5942485234776193
force_global,global,sum_then_filter,ema_0.8s,0.24676626313109848,0.7678590969761891,0.7271272269619686,3.02144911390202,1.435222419370677,9.313636363636363,30.0,0.6009457149046422
force_global,global,sum_then_filter,median3_ema,0.2195672141674081,0.7625752391651965,0.7302816127019905,3.3854953253706146,1.3683011406186931,8.895454545454545,30.0,0.5603092411869615
force_global,global,sum_then_filter,iir1_0.5hz,0.2431699764559663,0.8055928362273443,0.7680157422417991,3.74819436112538,1.487502808708676,9.477272727272727,30.0,0.5939066011239003
force_global,global,sum_then_filter,iir2_0.5hz,0.24520113157518464,0.7925075544451203,0.7536210114685195,3.3886799624556074,1.4657643869413486,9.568181818181818,30.0,0.5943315275791246
force_global,global,sum_then_filter,kalman_fast,0.24162108479612704,0.8573634299039253,0.8226124861188079,4.801773057807363,1.5659955863647017,19.69090909090909,40.0,0.5936990141931441
force_global,global,sum_then_filter,kalman_stable,0.24393611793841985,0.7940577317167028,0.7556605399676554,3.509989180169772,1.468823553123187,9.568181818181818,30.0,0.5947498878963814
force_global,global,per_cell_then_sum,cell_ema_0.35s,0.24340622983787688,0.8017487233425552,0.7639073390520135,3.6921889857858043,1.4801343945175882,9.527272727272727,30.0,0.5942485234776198
force_global,global,per_cell_then_sum,cell_median3_ema,0.11872247846049563,0.6820100984444416,0.6715971616143074,3.059576349406344,1.1425755851102848,8.922727272727272,30.0,0.4160338442163177
force_global,global,per_cell_then_sum,cell_kalman,0.24162108479612687,0.8573634299039252,0.8226124861188078,4.801773057807363,1.5659955863647015,19.69090909090909,40.0,0.5936990141931443
