##Session
schema_name,tactile_recording_session
schema_version,1
session_id,20260710_155224_single_device_d24da3
session_type,single_device
record_mode,single
device_id,device_001
device_alias,
port_name,
rows,0
cols,0
data_points,336
data_stage,processed_display
has_raw_adc,false
display_mode,pressure
record_frequency,0.00
time_base,elapsed_seconds
columns_version,1
##Data
timestamp,elapsed,frame_index,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99,ch100,ch101,ch102,ch103,ch104,ch105,ch106,ch107,ch108,ch109,ch110,ch111,ch112,ch113,ch114,ch115,ch116,ch117,ch118,ch119,ch120,ch121,ch122,ch123,ch124,ch125,ch126,ch127,ch128,ch129,ch130,ch131,ch132,ch133,ch134,ch135,ch136,ch137,ch138,ch139,ch140,ch141,ch142,ch143,ch144,ch145,ch146,ch147,ch148,ch149,ch150,ch151,ch152,ch153,ch154,ch155,ch156,ch157,ch158,ch159,ch160,ch161,ch162,ch163,ch164,ch165,ch166,ch167,ch168,ch169,ch170,ch171,ch172,ch173,ch174,ch175,ch176,ch177,ch178,ch179,ch180,ch181,ch182,ch183,ch184,ch185,ch186,ch187,ch188,ch189,ch190,ch191,ch192,ch193,ch194,ch195,ch196,ch197,ch198,ch199,ch200,ch201,ch202,ch203,ch204,ch205,ch206,ch207,ch208,ch209,ch210,ch211,ch212,ch213,ch214,ch215,ch216,ch217,ch218,ch219,ch220,ch221,ch222,ch223,ch224,ch225,ch226,ch227,ch228,ch229,ch230,ch231,ch232,ch233,ch234,ch235,ch236,ch237,ch238,ch239,ch240,ch241,ch242,ch243,ch244,ch245,ch246,ch247,ch248,ch249,ch250,ch251,ch252,ch253,ch254,ch255,ch256,ch257,ch258,ch259,ch260,ch261,ch262,ch263,ch264,ch265,ch266,ch267,ch268,ch269,ch270,ch271,ch272,ch273,ch274,ch275,ch276,ch277,ch278,ch279,ch280,ch281,ch282,ch283,ch284,ch285,ch286,ch287,ch288,ch289,ch290,ch291,ch292,ch293,ch294,ch295,ch296,ch297,ch298,ch299,ch300,ch301,ch302,ch303,ch304,ch305,ch306,ch307,ch308,ch309,ch310,ch311,ch312,ch313,ch314,ch315,ch316,ch317,ch318,ch319,ch320,ch321,ch322,ch323,ch324,ch325,ch326,ch327,ch328,ch329,ch330,ch331,ch332,ch333,ch334,ch335
1998435.547912,1.736000,75,7,12,4,18,5,8,3,4,3,4,2,4,4,2,4,2,206,20,1059,2,2,3,503,5,3,4,2,4,2,7,2,2,2,4,4,3,1,4,4,3,3,12,1,2,2,4,4,3,4,4,2,0,4,4,2,3,2,3,4,2,2,2,1,5,2,2,4,5,3,3,4,3,2,3,2,2,3,2,3,3,2,0,0,3,4,4,16,2,3,3,2,154,2,2,4,3,4,10,3,2,4,2,1,2,1,3,3,5,3,3,2,3,3,3,2,2,2,4,4,4,4,3,5,5,2,8,3,3,2,5,8,3,4,2,2,2,2,2,2,1,1,3,5,6,1,2,3,2,2,4,4,7,3,2,4,5,4,4,3,7,118,2,2,1,584,215,418,3,4,5,3,344,23,198,4,1027,477,1065,5,267,20,3,370,691,20,4,2,25,494,20,874,521,24,6,17,349,18,4,11,2,726,10,25,562,18,512,803,19,3,1,493,368,471,163,1054,655,208,124,696,1069,27,5,3,279,572,14,13,4,345,1408,293,4,682,1033,492,191,5,4,997,686,565,976,149,5,663,2,895,672,400,256,817,253,257,1214,282,2,12,797,1247,1028,552,341,526,336,148,1257,611,14,6,10,235,1073,3,9,595,82,3,4,3,2,2,3,3,0,5,3,5,3,3,4,1,2,2,3,1,4,2,6,4,4,6,3,2,3,2,3,3,3,2,2,4,5,6,6,3,2,3,2,0,4,4,6,4,4,1,3,3,2,3,3,3,2,3,3,7,4
1998435.602320,1.790000,76,4,4,2,4,2,2,2,1,2,9,4,8,5,4,3,2,5,3,2,3,5,5,7,9,3,10,3,4,1,10,6,2,2,2,6,5,4,3,2,0,5,2,17,7,3,4,4,2,6,518,49,886,19,11,2,375,107,3,3,187,965,4,600,52,6,3,11,28,23,5,5,4,0,4,1,3,818,1006,623,2,3,5,160,413,4,4,2,3,4,3,3,2,3,2,3,3,3,4,12,3,3,11,5,3,4,5,4,3,4,4,3,2,3,128,1,3,2,3,1,1,4,10,3,3,2,10,3,3,2,2,4,3,5,2,4,3,3,2,3,5,4,4,3,3,0,4,2,3,4,1,2,2,3,4,3,3,3,3,3,4,1,1,2,2,4,4,4,3,5,4,3,3,4,2,2,2,6,4,4,4,4,2,1,0,3,33,2,4,6,1,4,1,1,3,3,3,2,3,4,2,4,2,1,4,4,2,3,5,4,0,2,1,4,3,4,3,4,3,5,6,4,2,1,3,3,5,2,8,1,3,371,4,2,3,9,32,2,3,4,4,245,879,104,461,6,417,21,0,2,52,588,424,23,7,2,9,3,32,6,9,2,0,748,433,495,75,178,649,4,26,6,367,658,10,790,53,72,5,450,25,16,5,448,1,4,9,562,77,36,600,302,5,287,1,793,741,23,536,1027,1373,10,759,426,5,12,81,1303,8,2,647,640,5,474,1529,338,3,29,89,605,532,6,13,722,316,970,552,502,2,4,2,5,1109,448,7,334,1196
1998435.621933,1.810000,77,70,10,313,883,0,3,6,6,1533,160,618,562,328,706,205,56,3,82,636,1304,865,312,977,1164,205,327,469,779,91,1109,628,872,1507,613,1317,618,4,2,552,387,553,2,18,3,2,3,4,4,8,6,2,5,1,2,8,2,2,3,3,3,4,5,2,2,3,4,4,4,1,1,4,4,4,2,4,1,2,2,5,2,4,4,3,3,5,5,3,3,8,6,3,156,6,6,4,2,2,5,5,2,5,7,8,6,4,7,2,6,3,2,1,7,1,626,213,3,142,455,3,4,4,104,263,2,4,6,318,112,4,3,0,4,7,4,2,3,0,4,2,1,29,2,4,27,151,6,2,0,1,96,1,2,2,1,427,6,1,2,4,36,2,2,2,8,2,7,3,4,13,4,3,2,3,3,3,2,9,5,4,2,3,2,3,2,3,2,2,3,2,3,3,4,3,4,2,1,0,3,0,2,3,2,4,4,4,3,1,0,2,2,2,1,1,1,3,5,3,4,4,0,2,36,2,3,1,3,6,3,4,4,2,1,3,0,2,3,2,2,2,3,3,3,1,6,2,3,3,2,2,1,3,4,4,4,2,4,8,1,2,3,1,6,4,5,4,4,4,4,4,2,1,6,2,9,8,5,4,2,3,4,2,3,4,3,2,4,3,4,4,14,10,4,4,3,8,14,4,4,3,3,4,146,4,0,7,19,627,214,3,3,29,8,3,3,3,3,2,729,4,266,2,3,6,35,4,604,893,1,1,3,697,199,0,2,961,46
1998435.646897,1.835000,78,547,2,2,50,11,5,2,3,333,102,4,514,4,3,2,2,8,2,3,5,164,4,214,388,4,16,206,3,2,204,6,206,286,3,595,877,4,806,771,1,9,10,296,778,183,8,321,13,14,365,42,26,14,459,1545,886,23,84,12,84,16,9,11,2,2,182,1396,468,392,5,235,363,1121,514,6,6,5,1084,879,315,175,669,41,18,1456,813,188,2,940,1075,284,322,1130,1212,620,374,290,10,5,530,1070,556,347,4,4,4,6,6,3,8,8,2,4,3,4,4,3,2,4,3,6,8,2,3,2,13,10,3,2,2,4,2,4,4,3,5,4,2,3,3,2,4,3,4,4,4,0,3,2,2,4,2,3,2,4,7,4,4,13,3,4,3,3,1,4,8,7,4,3,16,3,2,2,3,6,4,13,2,6,4,6,0,1,24,546,4,398,67,3,411,314,4,16,4,5,3,258,9,4,48,3,3,4,3,20,16,4,4,3,4,784,33,2,233,2,34,4,2,239,10,3,6,2,2,2,2,4,18,4,4,2,14,4,4,4,4,1,2,4,3,4,5,2,22,1,2,4,4,2,2,5,2,3,9,2,4,2,2,3,2,36,4,3,2,4,4,4,4,2,3,3,2,4,7,1,2,3,3,3,2,3,4,2,2,2,2,4,3,3,2,4,3,3,3,2,3,4,3,3,4,3,3,2,2,2,2,1,3,1,3,4,4,4,3,4,4,3,3,2,4,4,4,2,4,5,3,2,1,1,4,3,2,1,1,2,4
1998435.670776,1.859000,79,4,4,6,3,4,3,3,3,4,3,3,6,4,3,3,2,3,4,3,2,5,4,4,6,4,4,3,1,3,9,0,3,3,3,4,4,4,2,2,4,8,2,24,2,1,1,4,5,4,2,2,2,3,3,4,4,2,2,3,4,4,4,3,2,2,0,0,5,4,4,70,16,27,1,178,310,7,94,295,40,2,120,25,18,11,5,90,2,2,727,974,1,19,0,33,3,4,32,17,3,35,0,0,4,589,3,11,4,13,575,45,5,2,128,463,1299,13,0,832,13,378,882,24,829,5,202,435,921,9,4,1073,59,391,1056,12,11,238,914,488,178,1,4,696,36,308,72,24,434,334,196,741,173,4,1065,31,569,1148,34,16,1233,1325,385,435,25,608,562,16,1052,1010,414,4,506,630,702,8,142,264,6,6,1901,3,2,2,4,2,148,10,2,7,8,4,9,4,5,3,2,5,4,3,2,2,4,3,4,4,1,2,1,10,2,3,3,7,8,3,3,4,3,4,3,2,2,1,2,4,8,5,5,2,3,2,3,3,4,2,8,1,1,4,5,4,4,3,2,2,2,12,3,4,2,4,2,4,4,12,883,1137,4,42,1,2,89,21,9,3,4,101,1,2,215,2,2,24,2,4,5,4,3,16,53,6,3,3,6,2,2,104,6,4,4,8,2,1,0,5,3,0,2,4,8,4,2,3,3,3,2,2,2,2,4,0,4,3,5,2,8,2,2,4,3,6,2,3,3,4,2,5,4,3,3,2,5,24,2,3,4
1998435.698841,1.887000,80,1,3,2,2,1,2,2,2,3,0,0,4,4,2,2,2,6,0,0,3,2,0,4,8,4,3,2,2,2,5,4,2,2,2,2,4,4,4,2,2,3,3,2,3,3,3,4,4,2,3,2,2,1,3,3,2,2,2,4,4,22,3,2,2,3,1,2,4,4,6,2,4,2,3,5,3,4,1,1,1,2,2,7,4,4,3,6,4,2,2,6,121,6,4,4,3,0,4,3,9,2,3,3,3,3,3,3,0,3,4,4,1,3,3,3,7,3,0,3,7,2,4,2,3,2,7,6,7,3,4,11,4,18,4,5,1,485,2,921,4,17,1030,151,2,2,5,2,0,1,824,3,17,332,367,12,3,12,6,2,196,386,2,6,2,719,8,4,516,4,32,3,4,2,2,17,14,3,225,4,372,278,25,2,11,44,990,1121,21,212,9,57,14,927,8,128,411,180,28,468,97,659,1450,18,594,782,899,12,176,1687,1104,2,5,206,21,12,761,1125,6,213,27,1477,1,169,767,757,718,977,497,272,195,1,565,535,38,8,1322,750,130,277,705,96,5,27,949,1,4,3,2,3,8,4,4,1,5,2,4,2,1,9,2,3,5,5,3,3,4,2,3,5,4,4,8,8,8,4,5,4,4,5,5,4,3,1,4,4,5,4,5,1,4,3,2,12,1,3,2,1,8,4,0,5,4,3,4,1,4,2,2,3,2,2,4,4,6,5,6,4,224,2,3,6,5,17,2,468,10,40,3,8,1,3,636,2,2,358,3
1998435.706050,1.898000,81,5,4,3,2,3,2,4,3,2,4,3,5,4,6,2,6,10,0,2,1,4,6,6,4,2,2,4,2,3,118,2,3,3,5,8,3,18,367,101,56,4,5,634,3,36,3,17,3,5,1084,0,2,7,2,76,435,7,217,4,3,10,3,3,13,4,3,3,1,6,2,3,2,4,3,10,4,4,10,2,2,7,0,32,4,3,5,34,1,1,2,1,1,16,2,3,3,4,3,8,4,4,2,4,1,4,4,2,3,2,3,2,3,2,3,2,6,2,2,3,3,4,4,3,6,2,1,4,3,15,0,4,6,4,4,2,4,5,3,2,2,2,4,3,3,4,4,5,3,1,2,4,4,1,4,4,3,2,3,4,1,4,3,2,3,9,3,4,3,5,4,3,4,2,3,5,3,5,8,3,8,4,4,3,2,4,223,5,4,9,4,3,5,4,8,2,3,2,4,2,6,3,8,1,16,3,4,1,3,3,2,1,2,2,5,3,2,4,3,100,3,146,440,3,3,21,360,377,4,8,3,2,4,3,3,2,5,243,5,3,572,4,4,54,523,2,2,2,2,8,187,6,4,256,342,2,20,12,2,3,40,167,56,423,28,32,133,1339,219,9,20,554,739,49,23,341,908,1288,402,294,6,6,621,912,6,3,1,394,40,1188,794,4,414,717,849,422,5,54,1196,209,1142,474,721,7,4,922,547,80,431,4,795,7,478,642,1153,4,5,6,1412,2,2,2,6,4,3,4,2,2,2,4,3,3,2,2,2,4,5
1998435.713137,1.901000,82,5,346,2,556,164,5,1144,627,5,138,844,355,1240,833,206,532,578,1269,602,564,156,4,797,703,5,854,1120,257,1,590,1060,7,3,2,1536,9,4,2,2,3,3,1,25,3,2,3,4,3,4,5,8,5,0,4,8,2,2,2,3,4,4,4,1,2,3,2,4,4,2,2,5,2,2,6,7,4,3,1,1,2,4,7,3,4,4,4,2,9,8,3,5,125,3,2,2,4,2,2,2,4,3,4,2,28,4,3,6,2,94,1,3,227,369,661,1,4,8,4,2,7,3,6,4,15,2,288,3,3,6,685,5,57,269,11,8,32,5,2,977,3,1,2,1,6,2,4,10,3,2,2,1,3,2,4,0,4,4,2,3,3,1,3,8,4,3,3,4,3,4,1,2,3,3,0,0,3,3,2,4,4,4,1,3,0,2,2,2,1,3,0,4,4,4,3,6,2,3,2,3,3,3,2,4,5,3,4,2,2,2,2,2,0,3,3,4,4,4,4,2,0,3,2,2,2,2,5,1,3,1,3,1,2,2,1,3,3,1,2,4,6,4,2,2,4,1,3,3,2,1,6,4,5,3,1,2,1,8,3,8,2,1,4,3,5,3,5,2,8,2,2,0,4,2,11,8,8,7,3,3,4,2,3,6,5,4,4,2,27,118,70,25,4,903,21,87,865,70,4,3,339,2,144,9,87,683,2,2,6,13,135,4,1015,3,2,209,607,206,3,5,3,409,290,369,13,2,384,4,684,567,2,4,515,681,529,9,564
1998435.742080,1.930000,83,5,6,1,596,494,3,91,4,385,456,4,22,3,186,35,9,1016,516,0,1,2,584,3,19,377,6,2,3,154,5,2,4,12,9,8,789,288,94,2,778,597,2,70,5,425,85,320,576,11,439,16,471,14,74,1562,76,472,436,520,815,285,106,81,2,2,4,441,414,291,309,1175,153,976,486,20,2,22,589,264,905,9,860,206,294,355,1201,761,6,1,1031,675,985,8,3,803,210,2,8,3,2,2,3,4,2,3,2,4,4,5,3,12,4,3,3,2,3,0,0,2,6,3,10,9,4,0,4,5,3,8,2,4,4,4,3,3,2,2,2,3,2,2,2,6,3,2,3,5,5,3,3,2,4,9,9,4,4,4,4,3,5,2,2,8,1,375,119,2,22,4,133,4,3,5,2,33,240,166,1321,2,1,0,5,89,2,3,401,3,4,14,13,121,6,8,8,2,0,1,2,3,3,5,2,6,8,7,4,9,2,35,2,3,2,2,3,3,5,4,4,3,224,2,3,2,3,2,2,5,2,4,3,10,2,2,0,1,2,3,3,3,3,7,2,2,2,2,1,1,0,2,1,9,5,4,3,3,2,9,3,3,2,2,2,2,4,2,4,1,3,2,2,5,4,4,2,3,3,3,5,4,6,3,3,3,6,2,2,1,3,4,4,4,3,4,3,3,2,2,5,3,4,4,3,6,4,3,2,2,5,5,8,2,4,4,1,3,4,3,3,0,16,3,4,3,4,2,3,4,4,2,1,2,2,6,3,4,5
1998435.771165,1.960000,84,8,2,4,4,4,4,4,3,7,4,4,5,4,4,2,1,0,2,3,3,10,2,6,4,2,4,5,2,2,5,3,4,4,2,6,4,3,3,3,4,2,3,9,3,7,4,2,3,4,4,8,3,2,4,4,5,6,3,3,4,1099,3,2,5,528,3,2,3,8,26,2,3,5,5,6,4,2,3,5,17,856,14,10,4,4,4,4,26,428,6,117,336,2,9,1065,277,218,9,18,32,283,9,21,5,150,1036,3,286,439,431,23,2,239,692,18,40,2,478,454,21,478,8,4,11,984,4,1073,1228,778,8,894,643,8,447,23,19,1008,4,463,1040,22,22,1207,525,829,1402,745,648,395,615,460,1108,4,94,652,1162,589,676,1274,980,3,471,886,4,2,2,46,4,2,9,702,4,2,3,3,4,12,6,8,5,7,4,4,2,1,108,3,2,20,4,5,4,2,4,3,3,3,6,4,9,3,4,5,4,8,4,1,4,12,3,2,3,2,3,4,4,4,3,3,3,2,2,15,2,2,1,5,8,5,2,3,2,2,3,4,6,3,3,5,5,4,4,4,34,2,17,4,148,3,94,0,6,3,8,12,2,2,15,2,3,36,9,9,3,6,331,11,2,5,464,164,9,447,58,564,18,4,2,4,3,3,4,1,3,16,1,3,4,3,4,5,1,2,2,15,2,4,2,3,3,3,4,3,4,4,2,8,4,2,2,5,4,3,4,4,1,3,3,4,4,3,4,4,0,4,3,2,3,2,3,4,3,2,2,4,4
1998435.825537,2.013000,85,3,4,2,2,3,3,2,3,12,3,4,20,4,5,3,2,2,3,3,2,2,6,115,2,4,4,4,2,4,9,1,1,2,1,2,8,3,3,3,5,4,3,2,2,3,3,5,2,2,2,1,1,3,3,2,5,0,2,4,3,2,3,3,2,2,0,2,1,1,2,4,4,3,2,4,4,2,3,3,3,2,8,9,5,4,3,4,3,3,2,2,116,2,4,2,4,3,4,5,2,5,1,4,8,3,9,4,5,6,7,6,3,3,3,4,2,3,6,3,3,4,8,2,2,6,3,3,2,5,56,5,372,5,224,3,29,97,115,5,797,2,1,3,4,525,927,1246,4,2,3,33,53,148,3,546,421,132,6,2,2,2,3,254,550,83,4,624,16,405,10,431,725,10,145,0,685,6,5,396,322,9,9,1,2,196,432,11,145,1041,7,829,704,2,11,185,2,2,439,1422,1209,22,465,474,179,288,1160,737,79,10,6,240,6,3,2,128,2,851,826,145,2,66,911,30,43,896,1053,22,773,678,203,740,430,787,1010,16,332,237,1380,723,896,4,3,1,10,4,2,2,2,0,5,3,4,4,5,2,1,3,3,4,4,1,3,6,4,3,4,2,3,2,0,6,4,1,16,4,6,4,3,3,3,3,4,4,8,2,3,8,2,4,4,2,2,4,3,2,3,2,5,6,5,5,3,3,1,2,2,6,4,2,6,2,4,436,6,77,11,5,29,11,2,1,3,4,4,4,3,27,426,307,4,8,925,1,2,448,18
1998435.843518,2.031000,86,4,3,2,2,3,3,2,4,2,9,4,6,6,4,2,3,724,47,2,35,867,60,544,2,2,1,5,4,2,7,19,1,1,9,4,39,3,4,256,6,4,5,226,3,73,5,360,4,3,18,2,60,138,8,6,2,3,4,4,3,3,4,3,3,4,3,30,2,2,3,4,3,2,15,1,4,3,4,6,3,2,4,4,4,4,4,2,2,2,2,2,70,2,3,4,4,3,4,2,1,2,0,1,3,3,1,3,4,3,3,3,3,1,3,4,2,2,2,1,3,4,3,4,1,2,4,3,2,4,8,3,4,4,3,2,2,4,2,4,4,0,2,3,2,3,3,3,2,2,3,4,3,2,3,1,4,3,4,4,2,1,3,4,3,5,5,3,4,4,5,4,2,1,1,3,3,7,2,9,2,4,4,3,3,4,165,4,2,8,3,3,3,4,3,2,2,2,4,2,3,4,4,19,6,4,427,258,665,5,2,3,476,20,16,4,1020,3,443,5,21,4,4,204,5,2,2,759,155,1,538,521,3,3,7,264,836,5,36,963,5,21,3,1,667,11,19,5,352,1229,559,899,753,845,12,265,786,705,2,434,196,4,44,422,75,699,1417,705,227,5,5,1588,290,5,13,1200,129,269,565,898,361,535,711,169,536,9,738,264,542,698,434,509,7,375,59,322,1341,585,1174,56,240,949,6,3,116,697,11,2,2,4,4,1,2,3,3,2,3,3,3,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,3,5
1998435.843530,2.031000,87,617,162,2,1,1090,1358,20,173,168,497,67,301,532,2,337,5,2,4,2,1,5,2,6,7,4,3,2,1,3,3,2,3,2,2,6,8,4,4,3,2,0,4,50,2,2,3,4,4,5,4,2,0,2,2,1,2,2,2,2,5,3,4,2,3,2,3,2,4,3,2,4,4,3,2,2,4,0,2,5,4,81,6,13,3,869,404,64,4,26,2,83,11,3,2,785,3,7,3,0,1,1,2,625,5,4,4,22,6,4,4,731,10,3,16,2,5,4,7,57,4,3,0,5,1,3,2,6,0,3,6,3,2,2,3,7,3,3,1,0,2,4,3,3,6,3,3,3,3,2,2,5,6,3,2,3,4,1,6,3,3,1,4,2,3,2,2,4,5,1,4,2,2,2,3,0,1,4,3,3,2,3,3,2,2,3,3,4,3,2,2,4,4,4,3,2,3,2,0,0,3,3,3,8,4,3,2,3,3,4,3,3,3,1,4,1,4,3,3,4,4,3,3,0,2,2,4,4,8,3,4,2,4,5,5,4,2,3,2,4,4,5,3,2,4,4,2,3,3,4,6,1,3,1,5,4,3,2,4,2,2,2,2,7,4,2,3,3,3,3,2,7,4,7,0,5,2,6,385,2,750,271,4,4,79,1253,16,200,197,4,7,2,3,2,3,2,1630,6,27,232,8,398,4,330,288,129,7,0,0,3,631,6,225,5,30,4,592,12,201,7,1120,508,109,1108,468,9,822,416,600,3,3,104,502,23,6,6,4
1998435.902100,2.090000,88,5,957,594,3,3,3,5,4,16,5,4,7,124,443,589,5,5,2,28,106,743,1000,468,724,456,2,6,286,763,530,50,33,993,22,494,826,740,974,4,438,14,8,1473,943,326,3,1106,963,112,873,803,7,36,675,998,781,10,30,150,532,780,739,1255,207,10,26,1133,1210,134,62,860,207,411,1301,155,577,7,3,741,950,5,5,891,814,5,7,4,2,4,3,3,214,3,4,3,6,4,4,1,2,3,2,4,2,2,4,9,2,3,5,8,2,4,2,5,4,3,3,3,3,4,2,3,0,3,4,2,1,5,6,2,4,4,4,4,2,2,3,4,3,2,0,4,4,4,4,3,4,4,3,2,37,2,3,4,16,932,2,2,0,2,17,3,8,3,3,144,3,14,3,45,2,2,1,3,3,2,1,23,2,203,4,3,3,2,481,6,1,55,2,394,3,3,4,3,2,3,2,25,4,4,2,3,4,7,4,8,2,3,72,1,3,3,3,4,4,4,2,3,1,2,1,1,3,4,4,4,4,6,5,0,12,1,2,4,4,2,4,4,4,4,4,1,1,6,1,3,3,3,0,4,2,3,1,3,2,0,0,2,3,2,0,17,4,3,6,1,4,3,3,2,4,4,16,5,6,4,2,2,4,2,3,2,2,3,4,4,3,4,4,0,0,3,4,3,3,2,4,4,6,4,4,5,2,4,3,3,2,2,4,3,4,4,4,3,3,2,5,3,3,3,2,4,4,5,2,4,3,2,3,3,3,2,2,0,4
1998435.902125,2.090000,89,3,4,2,4,2,3,4,4,2,7,4,4,4,4,2,2,2,4,3,5,13,2,8,9,4,4,3,4,1,8,3,4,3,2,23,2,29,18,0,2,122,605,5,2,413,4,13,2,4,4,18,101,1317,3,170,15,2,21,325,4,8,5,7,3,2,4,246,649,167,2,2,3,53,351,869,5,2,0,5,24,175,62,657,157,137,544,1444,1051,8,4,171,173,1096,46,1222,985,1,6,18,408,270,5,487,1419,984,79,617,1171,1,517,358,258,3,4,329,2371,27,6,1199,1380,1201,56,785,97,544,492,750,1494,35,261,378,483,560,598,592,870,44,122,958,716,688,71,924,963,3,4,459,2,1,1,2,2,3,3,4,4,8,4,2,3,2,3,4,3,4,4,4,4,3,4,4,4,2,3,1,4,9,4,6,2,4,4,4,8,1,134,8,8,38,5,4,6,4,4,3,4,0,1,5,2,1,2,4,2,4,3,4,3,2,4,3,5,2,3,3,6,6,3,4,4,4,170,22,4,78,2,9,188,3,4,4,4,14,321,2,6,2,4,62,4,17,256,1,7,2,6,4,3,6,2,4,5,4,647,2,2,1,29,11,4,2,1,8,3,4,2,4,4,8,0,1,3,2,2,5,5,3,4,3,4,3,4,3,3,15,2,9,3,3,3,2,2,0,2,1,3,2,2,4,4,4,3,3,0,4,2,1,0,2,1,3,4,4,4,3,4,2,2,3,2,1,4,2,4,4,2,1,2,1,4,2,2,3,2,1,4
1998435.922467,2.110000,90,4,2,3,3,2,2,2,3,2,2,4,4,4,6,4,3,2,3,2,3,3,4,3,3,4,4,2,4,2,5,1,4,3,2,4,4,3,4,2,2,3,2,37,2,3,3,4,5,2,4,2,4,2,3,5,2,2,4,3,3,6,3,3,2,2,1,2,2,4,3,3,1,4,5,3,3,4,1,3,4,4,3,13,4,4,4,1,1,3,4,4,52,6,3,1,4,2,3,2,1,2,1,6,158,2,2,10,4,4,723,10,1,3,849,808,1,929,0,4,4,144,4,88,2,2,3,58,3,2,2,697,5,31,501,9,4,2,160,64,41,13,10,17,166,24,914,65,64,2,3,123,566,514,4,751,391,12,5,1463,304,106,417,291,264,12,5,6,12,23,988,118,7,101,5,400,9,154,4,23,140,1172,1417,134,320,743,1018,1024,151,13,332,106,124,1590,314,2,20,110,48,1011,432,274,523,216,87,252,68,611,843,1147,94,325,564,475,1309,988,928,520,373,4,582,1588,1140,3,3,4,4,2,10,4,4,4,2,1,4,4,3,2,2,3,3,3,2,2,9,3,3,4,3,4,2,5,3,3,3,1,0,2,2,2,1,1,3,8,6,4,2,1,3,10,3,5,2,4,8,6,8,9,8,2,2,7,2,2,2,3,4,2,4,2,16,2,2,8,585,2,32,2,9,3,30,8,3,28,4,4,12,228,2,3,113,4,3,6,6,0,1,5,2,585,6,2,2,2,323,5,3,3,55,1,2,1,2,4,3,4,4
1998435.947505,2.135000,91,561,4,294,2,4,5,1,2,204,1,465,421,1,3,27,4,531,3,5,2,288,613,451,4,298,232,37,6,30,8,465,2,2,0,2,4,3,1,2,2,3,0,2,2,1,2,3,5,3,3,3,4,1,3,3,3,3,2,4,5,3,4,3,2,2,2,0,3,3,2,33,4,3,1,2,3,2,2,2,1,1,2,2,4,5,4,3,3,0,2,2,100,3,3,3,3,4,4,3,1,2,2,0,4,2,2,2,5,1,2,3,2,1,1,2,2,4,3,5,4,4,5,5,2,2,3,5,3,2,2,5,3,4,4,4,5,3,4,2,2,3,5,7,4,4,4,2,3,2,2,3,4,3,1,3,3,3,4,3,2,4,1,2,10,3,2,3,3,4,9,2,2,0,8,2,2,34,3,5,5,9,5,2,1,220,249,48,44,2,512,4,452,227,3,14,297,7,668,62,2,10,85,3,40,466,7,3,4,195,2,3,9,816,0,103,745,583,2,2,2,394,600,8,2,75,1287,3,154,12,6,2,33,4,2,48,5,646,846,8,187,842,19,5,4,21,4,3,2,640,470,3,26,257,4,33,809,920,11,115,368,1127,4,215,259,549,622,4,542,600,4,294,774,257,7,1109,77,694,781,177,16,1,307,1079,952,16,78,1357,317,3,4,5,5,3,3,2,5,8,5,9,2,5,1,3,3,3,8,4,2,4,9,4,1,4,4,2,1,3,3,2,3,2,2,4,4,4,4,2,3,3,2,2,5,2,2,5,5
