##设备信息
设备名称,自适应设备
行数,12
列数,8
数据点数,96
显示模式,ADC
下位机基准单位,raw
上位机展示单位,raw
录制频率,raw
录制时间,2026年07月10日_14时35分54秒
##数据开始
时间戳,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16,通道17,通道18,通道19,通道20,通道21,通道22,通道23,通道24,通道25,通道26,通道27,通道28,通道29,通道30,通道31,通道32,通道33,通道34,通道35,通道36,通道37,通道38,通道39,通道40,通道41,通道42,通道43,通道44,通道45,通道46,通道47,通道48,通道49,通道50,通道51,通道52,通道53,通道54,通道55,通道56,通道57,通道58,通道59,通道60,通道61,通道62,通道63,通道64,通道65,通道66,通道67,通道68,通道69,通道70,通道71,通道72,通道73,通道74,通道75,通道76,通道77,通道78,通道79,通道80,通道81,通道82,通道83,通道84,通道85,通道86,通道87,通道88,通道89,通道90,通道91,通道92,通道93,通道94,通道95,通道96,总值,最小值,最大值,平均值,受力面积,RSD,重心X,重心Y
14时35分55秒.869,5,42,43,44,45,39,22,4,5,20,19,20,21,21,16,5,6,5,5,6,5,6,5,6,5,5,6,5,5,4,5,5,5,949,892,954,782,140,33,5,5,1060,1228,1314,1384,151,33,5,5,921,965,1332,1379,162,33,5,5,1084,1220,1545,1432,156,34,5,6,1069,1364,1544,1365,153,33,5,5,644,832,775,644,140,33,5,5,73,75,75,76,65,26,6,6,73,75,76,77,59,24,5,29091.0,4.0,1545.0,303.03,96.0,1.6087324533314407,3.216028928756714,6.99077033996582
14时35分55秒.968,5,42,43,44,44,38,22,6,5,20,21,23,21,21,16,5,7,6,5,5,5,7,8,5,5,6,6,5,4,4,5,6,5,948,892,953,782,141,32,7,5,1058,1228,1314,1384,152,33,5,6,921,965,1332,1380,162,33,6,5,1083,1219,1545,1431,155,34,5,5,1069,1364,1545,1365,153,33,5,5,644,833,775,644,140,33,6,5,76,76,76,76,65,26,5,5,74,76,76,77,59,25,4,29106.0,4.0,1545.0,303.19,96.0,1.6073521476923875,3.216028928756714,6.99077033996582
14时35分56秒.071,6,43,43,44,44,38,22,5,5,20,20,19,20,20,16,5,5,5,5,6,6,5,6,6,5,5,5,6,5,5,6,5,6,948,894,953,782,142,33,6,5,1059,1228,1313,1384,152,33,5,6,921,965,1332,1380,162,34,5,7,1083,1219,1545,1428,156,34,5,5,1071,1364,1545,1365,153,33,6,5,644,830,774,644,140,33,5,5,74,75,76,76,65,26,5,5,75,75,76,77,60,25,6,29099.0,5.0,1545.0,303.11,96.0,1.6076203740625108,3.2165539264678955,6.990910530090332
14时35分56秒.170,5,43,42,44,43,38,22,5,5,19,22,21,22,20,16,6,6,5,5,6,5,6,7,5,5,5,5,5,6,5,5,4,5,949,893,955,783,142,32,5,5,1060,1229,1314,1384,152,33,5,5,921,964,1332,1381,162,34,5,5,1083,1221,1545,1431,155,33,5,5,1071,1362,1545,1365,153,33,6,5,644,832,774,644,140,33,6,6,74,75,74,75,64,26,5,6,76,76,78,79,60,25,5,29108.0,4.0,1545.0,303.21,96.0,1.607803223831002,3.2165539264678955,6.990910530090332
14时35分56秒.269,4,43,42,44,43,38,21,6,6,19,21,21,21,19,16,5,5,7,5,7,5,5,5,5,5,6,6,5,6,5,5,5,5,952,896,957,785,142,32,5,5,1063,1232,1316,1386,152,33,5,5,922,964,1332,1381,162,34,5,5,1083,1223,1545,1429,155,33,6,6,1073,1364,1545,1364,153,34,6,6,644,832,774,645,140,33,6,5,71,75,74,75,64,26,6,7,76,76,78,78,60,25,5,29132.0,4.0,1545.0,303.46,96.0,1.6077705766589574,3.2165539264678955,6.990910530090332
14时35分56秒.369,6,43,42,44,44,38,22,5,4,19,21,21,21,19,16,5,6,5,5,6,5,5,5,5,5,5,5,5,6,5,5,6,6,951,897,959,785,142,33,6,5,1062,1228,1316,1390,152,34,6,5,922,964,1332,1381,162,34,6,6,1082,1223,1545,1430,156,33,7,5,1072,1364,1545,1365,154,34,5,6,644,832,774,645,140,33,5,5,71,73,74,74,64,26,5,6,76,77,79,80,60,25,5,29137.0,4.0,1545.0,303.51,96.0,1.6075695288417244,3.216992139816284,6.98996114730835
14时35分56秒.468,6,43,43,43,44,38,23,5,5,22,21,21,21,19,16,7,6,6,4,5,5,5,8,5,6,5,5,6,5,5,5,5,6,949,896,958,785,143,33,5,6,1064,1230,1317,1390,152,34,6,6,922,965,1333,1381,163,34,6,6,1079,1223,1545,1429,156,33,5,6,1071,1364,1545,1365,154,34,4,6,644,832,776,645,140,33,6,5,72,73,73,72,64,26,5,5,76,77,79,80,63,25,4,29147.0,4.0,1545.0,303.61,96.0,1.6068534654946525,3.216992139816284,6.98996114730835
14时35分56秒.568,6,41,42,42,42,38,23,5,5,21,20,20,20,19,16,5,5,5,6,5,6,6,5,5,5,4,6,5,5,5,5,5,6,950,896,957,785,143,33,5,6,1065,1231,1320,1391,153,34,6,5,921,965,1333,1381,163,35,5,5,1080,1221,1545,1430,156,33,6,4,1071,1364,1545,1367,154,34,6,5,644,831,775,645,140,33,5,5,72,73,73,74,64,26,5,5,77,77,79,80,62,25,5,29138.0,4.0,1545.0,303.52,96.0,1.6080948310917766,3.2175509929656982,6.990973949432373
14时35分56秒.655,6,41,41,41,41,36,21,5,6,21,22,22,22,21,16,6,5,5,5,6,6,5,5,5,5,6,6,6,5,5,5,5,5,950,895,957,785,143,33,5,6,1064,1231,1320,1392,153,34,5,6,921,965,1334,1382,163,34,5,6,1080,1221,1545,1430,156,33,6,5,1072,1363,1545,1367,154,34,5,5,644,831,774,645,141,33,6,5,71,74,73,74,64,26,5,6,79,78,80,81,63,25,5,29151.0,5.0,1545.0,303.66,96.0,1.6072126529614454,3.2175509929656982,6.990973949432373
14时35分56秒.770,6,41,41,41,41,36,21,5,5,21,21,21,21,20,16,5,5,5,8,5,6,6,5,6,4,5,6,5,5,6,5,5,6,950,897,957,785,144,34,5,5,1064,1231,1320,1389,154,34,5,6,922,965,1335,1382,165,34,5,5,1080,1220,1544,1428,156,34,5,5,1073,1365,1546,1368,154,34,5,4,645,836,776,647,141,33,4,6,71,73,73,72,64,26,7,6,79,79,80,81,63,25,5,29161.0,4.0,1546.0,303.76,96.0,1.6070862646329176,3.2171220779418945,6.99315881729126
