recording,frames,sample_rate_hz,duration_s,raw_nonzero_channels,offline_mask_channels,raw_total,offline_total_retention,causal_total_retention,offline_high_value_retention,offline_low_value_removed,changed_sample_ratio,offline_causal_disagreement,startup_delay_frames,startup_delay_ms
1.5kg_20260710145618,2289,58.823529412368934,38.91299999960029,544,455,262389912.0,0.9980497535286341,0.997809443222802,0.9991434089910052,0.3968582047316957,0.005489271038117082,0.0009744293359545653,2,33.999999999650754
1.5kg_20260710145716,1986,52.63157894672346,37.7340000004624,541,455,254029786.0,0.9970238608160699,0.9964875575653951,0.999016444508459,0.4371088229355946,0.010049226420883685,0.0025814244634315207,2,38.00000000046566
1kg_20260710145358,1897,58.823529412368934,32.24899999966874,470,385,216769775.0,0.9979504845636344,0.9974366167977062,0.9989541433955256,0.2481787147883908,0.004629019504480759,0.00220756148688719,2,33.999999999650754
1kg_20260710145522,2080,58.823529412368934,35.359999999636784,481,373,146408872.0,0.9949793479728469,0.993385264248194,0.9990530260233695,0.35208152242313606,0.011939532940204327,0.004278212327223557,2,33.999999999650754
500g_20260710145113,1872,58.823529412368934,31.82399999967311,296,214,87636522.0,0.9962595845599623,0.9956950254141761,0.9989246011046617,0.3836981933411812,0.00529636480869391,0.0010428143362713675,2,33.999999999650754
500g_20260710145200,1994,58.823529412368934,33.8979999996518,408,228,124640145.0,0.9960930324655832,0.995699924771429,0.9990011223255469,0.4990663542129648,0.007766218577607824,0.0009124051843029087,2,33.999999999650754
500g_20260710145249,1833,58.823529412368934,31.16099999967992,307,220,69984886.0,0.9713867648509137,0.9709487131264313,0.9733116673758005,0.18417346222390235,0.005168109400572832,0.0006815425958128751,2,33.999999999650754
